Vessel Name: AS_P25
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	B6	C6	D6
2/12/2023 4:00:00 PM	21	2040231	1926537	1977888	2166335	1.881285E+07	1.393596E+07	2.248017E+07	2.440944E+07	2.819347E+07	2.122146E+07	2.188165E+07	2.705752E+07	1374261	1340260	1063057	1215415	2.544293E+07	1.397701E+07	1.554015E+07	2.062442E+07	3.036706E+07	2.962492E+07	4.338678E+07
2/12/2023 6:00:00 PM	23	1908489	1817044	1944973	2147660	1.696226E+07	1.253647E+07	2.109952E+07	2.197902E+07	2.893689E+07	2.14767E+07	2.26851E+07	2.760599E+07	1403790	1460085	1104255	1202610	2.468616E+07	1.256961E+07	1.4679E+07	1.874748E+07	3.138751E+07	3.046494E+07	4.478311E+07
2/12/2023 8:00:00 PM	25	1832010	1759138	1862019	2006730	1.484569E+07	1.095975E+07	1.930804E+07	1.916407E+07	2.939325E+07	2.184013E+07	2.311722E+07	2.853767E+07	1383354	1353991	1057419	1158516	2.219558E+07	1.140961E+07	1.360031E+07	1.692553E+07	3.219033E+07	3.191669E+07	4.529006E+07
2/12/2023 9:00:00 PM	26	1858147	1761358	1841979	1962849	1.367185E+07	1.049753E+07	1.835914E+07	1.753122E+07	2.99306E+07	2.192804E+07	2.330975E+07	2.868343E+07	1332894	1368124	1065068	1162126	2.074482E+07	1.075514E+07	1.321448E+07	1.56479E+07	3.248917E+07	3.238817E+07	4.582156E+07
2/12/2023 10:00:00 PM	27	1799505	1740613	1837288	1929834	1.249754E+07	9886248	1.752017E+07	1.614453E+07	2.992939E+07	2.203992E+07	2.3517E+07	2.891289E+07	1303988	1329425	1051542	1156274	1.978899E+07	1.005414E+07	1.284291E+07	1.460791E+07	3.257434E+07	3.284297E+07	4.618395E+07
2/12/2023 11:00:00 PM	28	1811110	1751764	1826444	1941035	1.138857E+07	9099054	1.618895E+07	1.460206E+07	3.079378E+07	2.207375E+07	2.35443E+07	2.902211E+07	1354533	1360298	1042676	1207765	1.83758E+07	9318192	1.205712E+07	1.348646E+07	3.289108E+07	3.272185E+07	4.623002E+07
2/13/2023 12:00:00 AM	29	1791604	1718290	1825296	1937180	1.040849E+07	8340455	1.522006E+07	1.329585E+07	3.046137E+07	2.232822E+07	2.394206E+07	2.899033E+07	1313640	1328071	1028936	1189757	1.724719E+07	8698440	1.151618E+07	1.27464E+07	3.335684E+07	3.313885E+07	4.717096E+07
2/13/2023 1:00:00 AM	30	1798836	1717424	1855948	1923769	9359582	7537193	1.389371E+07	1.20699E+07	3.077523E+07	2.239687E+07	2.409256E+07	2.908914E+07	1304027	1353204	1029452	1158557	1.577521E+07	8116305	1.096949E+07	1.184214E+07	3.36702E+07	3.348836E+07	4.683232E+07
2/13/2023 2:00:00 AM	31	1792736	1662441	1804375	1942867	8561503	6894050	1.290149E+07	1.078424E+07	3.032764E+07	2.221858E+07	2.437739E+07	2.926221E+07	1277982	1265154	1031070	1169354	1.458971E+07	7480540	1.026699E+07	1.094923E+07	3.400306E+07	3.380884E+07	4.681228E+07
2/13/2023 4:00:00 AM	33	1735880	1664510	1782609	1965976	6838494	5548172	1.09199E+07	8454774	3.025974E+07	2.202046E+07	2.415306E+07	2.987182E+07	1186042	1281888	1022468	1147437	1.249808E+07	6293632	8758394	9193360	3.420398E+07	3.428537E+07	4.642372E+07
2/13/2023 6:00:00 AM	35	1774421	1674803	1750895	2021109	5355651	4413586	9078382	6700232	2.975056E+07	2.131033E+07	2.343831E+07	2.97869E+07	1212194	1298442	1032447	1180648	1.040515E+07	5419789	7628511	7777750	3.441372E+07	3.398056E+07	4.55939E+07
2/13/2023 8:00:00 AM	37	1814519	1680949	1768652	2049903	4288597	3725224	7377623	5397061	2.838693E+07	2.028669E+07	2.248249E+07	2.939942E+07	1180962	1246669	971331.9	1199250	8799182	4491848	6645741	6474916	3.35896E+07	3.331382E+07	4.463355E+07
2/13/2023 10:00:00 AM	39	1814674	1671200	1818133	2096553	3378231	3256003	6157252	4286117	2.559153E+07	1.820463E+07	2.020372E+07	2.840065E+07	1164098	1239260	997086.3	1168605	7149645	3720684	5666703	5375951	3.251384E+07	3.209882E+07	4.30826E+07
2/13/2023 12:00:00 PM	41	1844400	1709959	1844976	2102637	2683910	2695206	5034334	3548910	2.195737E+07	1.584381E+07	1.796204E+07	2.645712E+07	1223290	1281353	960836.4	1135402	5789913	3136015	4819238	4561393	3.089015E+07	3.087215E+07	3.965561E+07
2/13/2023 4:00:00 PM	45	1937036	1861019	2046629	2229362	2142932	2100005	3869458	3011317	1.415412E+07	9896234	1.155068E+07	2.067761E+07	1385888	1275689	986848.4	1194103	4964071	2291657	3629663	3438001	2.550102E+07	2.650971E+07	3.261981E+07
2/13/2023 6:00:00 PM	47	1955690	1817850	2046185	2227190	2028153	1903287	3662395	2761897	9712509	7345407	8460130	1.607662E+07	1350743	1279057	1004405	1172861	4399162	1993339	3146721	3117450	2.105212E+07	2.245741E+07	2.700696E+07
2/13/2023 8:00:00 PM	49	1978594	1877779	2084011	2259529	1940546	1777277	3359432	2588414	6628218	5194362	6162048	1.197115E+07	1367670	1289152	1030930	1209365	3868560	1771469	2734347	2777066	1.652531E+07	1.837128E+07	2.19409E+07
2/13/2023 10:00:00 PM	51	1995307	1915292	2124002	2295616	1955977	1641972	3141741	2527549	4578929	3623185	4372026	8277923	1391935	1296994	1070477	1199110	3706983	1698058	2503800	2564409	1.256819E+07	1.451393E+07	1.740635E+07
2/14/2023 12:00:00 AM	53	2071415	1861996	2118778	2356149	1921273	1590721	2869596	2430791	3030415	2637124	3277087	5851017	1420341	1332852	1060901	1270307	3469337	1665513	2280573	2446382	9421624	1.10325E+07	1.353348E+07
2/14/2023 2:00:00 AM	55	2121447	1933899	2157214	2360948	1928776	1582304	2852985	2441227	2300633	1982251	2708937	4015531	1429282	1317629	1070497	1291418	3480535	1668228	2230896	2421079	7112766	7989364	1.026464E+07
2/14/2023 4:00:00 AM	57	2231763	1940464	2136877	2470810	1878697	1630727	2315047	2476416	1871969	1638716	2248584	2875918	1432750	1306304	1079502	1396344	3388768	1654159	2123320	2377722	5285620	6021049	7885200
2/14/2023 6:00:00 AM	59	2317020	1965197	2178926	2483530	1871477	1591036	2296538	2440255	1639652	1479210	1867282	2286062	1463297	1314312	1108595	1375696	3496536	1676493	2039348	2350999	4165488	4781602	6308761
2/14/2023 8:00:00 AM	61	2373242	1995093	2216145	2501697	1755625	1559504	2517384	2445592	1569297	1437541	1690963	1967462	1456314	1368971	1142922	1364606	3549438	1719700	2057029	2385619	3469006	3810256	5282481
2/14/2023 10:00:00 AM	63	2442216	2074355	2272289	2602232	1800912	1509592	2235806	2469305	1508802	1486584	1681552	1836427	1494439	1412913	1163735	1433643	3543510	1714481	2093641	2368986	3180940	3224905	4531542
2/14/2023 12:00:00 PM	65	2518779	2123842	2313641	2672563	1775403	1483634	2253601	2442500	1481817	1471178	1648613	1708694	1553124	1461281	1194852	1442269	3668906	1694276	2096451	2365495	2883776	2848260	4127605
2/14/2023 4:00:00 PM	69	2656916	2355580	2650379	3003447	1996439	1583808	2606026	2489557	1514103	1474685	1677882	1728205	1672543	1527185	1273447	1497848	3901947	1811052	2143314	2550264	2894481	2600528	4056476
2/14/2023 6:00:00 PM	71	2681389	2397832	2699511	3082007	1920846	1527092	2465311	2529020	1544142	1378936	1636936	1704867	1699379	1470049	1300171	1489681	3815767	1840516	2105362	2596262	2836252	2499713	3847840
2/14/2023 8:00:00 PM	73	2727242	2410961	2718904	3145994	1876970	1554307	2312504	2571904	1538726	1348801	1634751	1674410	1718028	1368439	1265839	1533282	3841049	1776968	2062684	2548410	2840883	2406737	3773628
2/14/2023 10:00:00 PM	75	2732223	2399632	2725599	3133603	1877754	1508912	2405147	2636418	1584447	1334195	1626889	1674870	1750593	1376317	1266774	1546998	3907156	1809067	2075965	2530730	2883652	2464727	3747774
2/15/2023 12:00:00 AM	77	2749360	2449649	2772112	3163343	1903585	1531440	2220097	2711205	1618472	1354601	1622718	1688693	1780538	1397167	1291147	1586672	4041209	1824579	2098167	2522491	2830741	2452595	3783981
2/15/2023 2:00:00 AM	79	2804592	2487937	2788450	3196002	1929392	1529864	2249595	2744263	1717433	1387030	1588241	1776360	1807472	1414380	1352850	1554263	4179165	1835716	2081538	2542489	2940894	2430239	3772165
2/15/2023 4:00:00 AM	81	2850092	2463622	2875124	3251571	1983889	1554011	2298114	3042489	1762292	1412641	1578575	1847652	1808915	1415616	1381825	1611870	4302071	1871686	2074400	2563208	3086617	2487686	3785605
2/15/2023 6:00:00 AM	83	2856274	2453393	2847949	3361505	2092105	1591439	2303962	3193873	1837717	1448339	1651490	1961155	1819740	1439163	1366940	1681113	4514502	1942055	2028344	2568057	3262304	2503887	3820714
2/15/2023 8:00:00 AM	85	2897015	2512198	2944737	3401351	2160656	1608752	2344117	3261619	1948727	1516624	1663021	2012822	1835691	1442933	1434070	1689730	4644619	1953226	2032098	2632228	3403314	2661297	3884861
2/15/2023 10:00:00 AM	87	2922078	2547360	2975189	3414802	2181201	1610516	2460195	3403003	2064785	1572449	1711383	2088476	1848294	1461588	1433539	1722003	4926972	2003611	2109029	2647391	3502365	2689681	3970986
